[28Nov2023 19:39:17.625] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeclientuserdev, --version, MOD_DEV, --assetIndex, 5, --assetsDir, /Users/haydenzamora/.gradle/caches/forge_gradle/assets, --gameDir, ., --fml.forgeVersion, 46.0.14, --fml.mcVersion, 1.20, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230608.053357]
[28Nov2023 19:39:17.627] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8.1 by Eclipse Adoptium; OS Mac OS X arch aarch64 version 12.4
[28Nov2023 19:39:17.712] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/Users/haydenzamora/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.5/9d1c0c3a304ae6697ecd477218fa61b850bf57fc/mixin-0.8.5.jar%23119!/ Service=ModLauncher Env=CLIENT
[28Nov2023 19:39:17.947] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /Users/haydenzamora/.gradle/caches/modules-2/files-2.1/net.minecraftforge/javafmllanguage/1.20-46.0.14/a6405744022dfa25d0b0b60fadee46538a162723/javafmllanguage-1.20-46.0.14.jar is missing mods.toml file
[28Nov2023 19:39:17.948] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /Users/haydenzamora/.gradle/caches/modules-2/files-2.1/net.minecraftforge/lowcodelanguage/1.20-46.0.14/d85c3d3a835e85b26ebf1adf7604a180762119a7/lowcodelanguage-1.20-46.0.14.jar is missing mods.toml file
[28Nov2023 19:39:17.949] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /Users/haydenzamora/.gradle/caches/modules-2/files-2.1/net.minecraftforge/mclanguage/1.20-46.0.14/69e8fcee85250152d97775b0704885837b4b75fa/mclanguage-1.20-46.0.14.jar is missing mods.toml file
[28Nov2023 19:39:17.967] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /Users/haydenzamora/.gradle/caches/modules-2/files-2.1/net.minecraftforge/fmlcore/1.20-46.0.14/9d768efd192cfba2ab8d351cb392859ccf691710/fmlcore-1.20-46.0.14.jar is missing mods.toml file
[28Nov2023 19:39:18.010] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[28Nov2023 19:39:19.032] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[28Nov2023 19:39:19.037] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeclientuserdev' with arguments [--version, MOD_DEV, --gameDir, ., --assetsDir, /Users/haydenzamora/.gradle/caches/forge_gradle/assets, --assetIndex, 5]
[28Nov2023 19:39:19.427] [main/INFO] [mixin/]: Remapping refMap geckolib.refmap.json using /Users/haydenzamora/Documents/DarkCollectiveGit/build/createSrgToMcp/output.srg
[28Nov2023 19:39:22.595] [Datafixer Bootstrap/INFO] [com.mojang.datafixers.DataFixerBuilder/]: 188 Datafixer optimizations took 120 milliseconds
[28Nov2023 19:39:23.693] [Render thread/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/Users/haydenzamora/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20-46.0.14_mapped_official_1.20/forge-1.20-46.0.14_mapped_official_1.20-recomp.jar%23182!/assets/.mcassetsroot' uses unexpected schema
[28Nov2023 19:39:23.693] [Render thread/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/Users/haydenzamora/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20-46.0.14_mapped_official_1.20/forge-1.20-46.0.14_mapped_official_1.20-recomp.jar%23182!/data/.mcassetsroot' uses unexpected schema
[28Nov2023 19:39:23.718] [Render thread/INFO] [com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService/]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[28Nov2023 19:39:23.735] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Setting user: Dev
[28Nov2023 19:39:23.838] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Backend library: LWJGL version 3.3.1 build 7
[28Nov2023 19:39:24.508] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 46.0.14, for MC 1.20 with MCP 20230608.053357
[28Nov2023 19:39:24.510] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v46.0.14 Initialized
[28Nov2023 19:39:25.387] [Render thread/INFO] [net.minecraftforge.gametest.ForgeGameTestHooks/]: Enabled Gametest Namespaces: [darkcollective]
[28Nov2023 19:39:25.674] [Render thread/INFO] [net.minecraft.server.packs.resources.ReloadableResourceManager/]: Reloading ResourceManager: vanilla, mod_resources
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/black_stand 17.json, ignoring
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_ore 6.json, ignoring
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_ore 29.json, ignoring
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_cobblestone 7.json, ignoring
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_cobblestone 16.json, ignoring
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/atrivium_ore 8.json, ignoring
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/actrivium_ore 5.json, ignoring
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_stone 4.json, ignoring
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_block 6.json, ignoring
[28Nov2023 19:39:25.889] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/actrivium_ore 10.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_ore 13.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_stone 10.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/trivindium_ore 4.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/trivindium_ore 5.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_stone 11.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_ore 12.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/actrivium_ore 11.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_block 7.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/atrivium_ore 26.json, ignoring
[28Nov2023 19:39:25.890] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_stone 5.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_cobblestone 6.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_cobblestone 17.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/atrivium_ore 9.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/actrivium_ore 4.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_ore 28.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_ore 7.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_darktiles2 2.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/black_stand 16.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/trivindium_ore 21.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_darktiles2 17.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/white_brick_lamp 12.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_block 10.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/black_stand 20.json, ignoring
[28Nov2023 19:39:25.891] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/black_stand 2.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/ore_refinerymk1 12.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/trivindium_ore 9.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_block 26.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/actrivium_ore 8.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/atrivium_ore 5.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_stone 9.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/trivindium_ore 17.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/actrivium_ore 27.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_ore 24.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_stone 27.json, ignoring
[28Nov2023 19:39:25.892] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_cobblestone 21.json, ignoring
[28Nov2023 19:39:25.895] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_darktiles 16.json, ignoring
[28Nov2023 19:39:25.895] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/atrivium_ore 10.json, ignoring
[28Nov2023 19:39:25.898] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_darktiles 3.json, ignoring
[28Nov2023 19:39:25.898] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_whitebricks 14.json, ignoring
[28Nov2023 19:39:25.899] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_whitebricks 2.json, ignoring
[28Nov2023 19:39:25.899] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_darktiles 8.json, ignoring
[28Nov2023 19:39:25.900] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_block 17.json, ignoring
[28Nov2023 19:39:25.901] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_whitebricks 9.json, ignoring
[28Nov2023 19:39:25.908] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/ore_refinerymk1 7.json, ignoring
[28Nov2023 19:39:25.911] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/white_brick_lamp 15.json, ignoring
[28Nov2023 19:39:25.912] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/trivindium_ore 26.json, ignoring
[28Nov2023 19:39:25.912] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_darktiles2 10.json, ignoring
[28Nov2023 19:39:25.912] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_darktiles2 5.json, ignoring
[28Nov2023 19:39:25.912] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/black_stand 11.json, ignoring
[28Nov2023 19:39:25.912] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/white_brick_lamp 7.json, ignoring
[28Nov2023 19:39:25.912] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/actrivium_ore 3.json, ignoring
[28Nov2023 19:39:25.912] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_cobblestone 10.json, ignoring
[28Nov2023 19:39:25.913] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/atrivium_ore 21.json, ignoring
[28Nov2023 19:39:25.914] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_stone 2.json, ignoring
[28Nov2023 19:39:25.914] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/actrivium_ore 16.json, ignoring
[28Nov2023 19:39:25.914] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/aernium_ore 15.json, ignoring
[28Nov2023 19:39:25.914] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_stone 16.json, ignoring
[28Nov2023 19:39:25.914] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/black_stand 9.json, ignoring
[28Nov2023 19:39:25.915] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/trivindium_ore 2.json, ignoring
[28Nov2023 19:39:25.915] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_whitebricks 5.json, ignoring
[28Nov2023 19:39:25.915] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_darktiles 4.json, ignoring
[28Nov2023 19:39:25.915] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_whitebricks 13.json, ignoring
[28Nov2023 19:39:25.915] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/mothership_darktiles 11.json, ignoring
[28Nov2023 19:39:25.915] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/atrivium_ore 17.json, ignoring
[28Nov2023 19:39:25.915] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/meteorite_cobblestone 26.json, ignoring
[28Nov2023 19:39:25.915] [Worker-Main-5/ERROR] [net.minecraft.Util/]: Invalid path in pack: darkcollective:blockstates/white_brick_lamp 19.json, ignoring
